id,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
0,中度污染,165.0,159.0,131.0,244.0,44.0,95.0,1.9,25.0
1,中度污染,193.0,161.0,158.0,286.0,75.0,126.0,2.31,20.0
2,严重污染,258.0,171.0,204.0,354.0,78.0,112.0,2.1,16.0
3,重度污染,217.0,175.0,169.0,282.0,58.0,78.0,1.71,12.0
4,严重污染,255.0,174.0,205.0,333.0,55.0,96.0,2.13,14.0
5,中度污染,165.0,91.0,129.0,209.0,52.0,67.0,1.25,42.0
6,轻度污染,104.0,82.0,77.0,110.0,24.0,55.0,1.03,18.0
7,良,77.0,96.0,56.0,68.0,15.0,38.0,1.03,34.0
8,良,65.0,53.0,40.0,79.0,25.0,44.0,0.7,32.0
9,轻度污染,112.0,107.0,84.0,141.0,42.0,70.0,0.93,24.0
10,轻度污染,126.0,107.0,96.0,145.0,48.0,75.0,1.19,14.0
11,中度污染,175.0,160.0,134.0,184.0,52.0,68.0,1.29,29.0
12,中度污染,156.0,159.0,122.0,182.0,45.0,61.0,0.98,19.0
13,良,98.0,72.0,73.0,124.0,51.0,75.0,0.93,20.0
14,轻度污染,110.0,64.0,82.0,133.0,43.0,74.0,0.75,33.0
15,轻度污染,121.0,64.0,91.0,148.0,43.0,89.0,1.07,25.0
16,中度污染,194.0,121.0,147.0,239.0,47.0,103.0,1.6,31.0
17,严重污染,349.0,181.0,299.0,395.0,70.0,80.0,2.07,27.0
18,严重污染,327.0,177.0,276.0,371.0,66.0,87.0,2.04,40.0
19,中度污染,189.0,150.0,122.0,263.0,42.0,59.0,1.05,41.0
20,良,90.0,102.0,46.0,128.0,45.0,59.0,0.8,35.0
21,良,83.0,43.0,58.0,111.0,44.0,73.0,0.83,33.0
22,轻度污染,120.0,87.0,90.0,150.0,47.0,95.0,1.32,29.0
23,重度污染,248.0,182.0,199.0,282.0,52.0,81.0,1.81,36.0
24,良,91.0,101.0,60.0,105.0,28.0,41.0,0.73,46.0
25,良,86.0,85.0,55.0,102.0,31.0,58.0,1.07,22.0
26,中度污染,171.0,153.0,129.0,190.0,38.0,65.0,1.43,31.0
27,轻度污染,123.0,125.0,92.0,129.0,19.0,43.0,1.32,27.0
28,严重污染,264.0,164.0,215.0,268.0,47.0,60.0,2.48,43.0
29,严重污染,294.0,154.0,247.0,312.0,24.0,43.0,1.97,43.0
30,重度污染,244.0,162.0,193.0,240.0,22.0,39.0,1.85,41.0
31,重度污染,220.0,134.0,171.0,263.0,14.0,40.0,2.36,30.0
32,轻度污染,144.0,164.0,85.0,178.0,10.0,28.0,1.37,44.0
